source_id,source_name,domain,source_family,source_type,priority,coverage_scope,canonicality,platform_family,access_method,automation_status,legal_review_status,verification_status,official_url,search_url,notes
SRC-OFF-BFS-COMMUNES,BFS Applikation der Schweizer Gemeinden – Levels API,agvchapp.bfs.admin.ch,OFFICIAL_REFERENCE,GEOGRAPHY_REFERENCE,P0,Switzerland municipalities,CANONICAL_REFERENCE,BFS_REST_CSV,REST_CSV,READY_FOR_IMPLEMENTATION,PUBLIC_DATA_DOCUMENTED,VERIFIED,https://www.agvchapp.bfs.admin.ch/api/communes/levels?date=01-01-2026,,Base oficial PIT municipal; SPRGEB2020=1 define el universo germanófono.
SRC-OFF-JOBROOM,Job-Room,job-room.ch,OFFICIAL_NATIONAL,OFFICIAL_JOB_BOARD,P0,Switzerland,HIGH_CANONICALITY,JOBROOM,WEB,ACCESS_METHOD_RESEARCH_REQUIRED,TERMS_AND_ACCESS_REVIEW_REQUIRED,VERIFIED,https://www.job-room.ch/,,No asumir que la API de notificación permite lectura masiva.
SRC-OFF-JOBROOM-API,Job-Room job advertisement API,job-room.ch,OFFICIAL_NATIONAL,PUBLISHING_API,P0,Switzerland,NOT_A_READ_FEED_UNTIL_CONFIRMED,JOBROOM_API,API,DO_NOT_IMPLEMENT_AS_BULK_READER,ACCESS_SCOPE_MUST_BE_CONFIRMED,VERIFIED_DOCUMENTED_INTERFACE,https://test-api.job-room.ch/api-docs/jobAdvertisements/v1/index.html,,Documentada para notificación/gestión de anuncios; no tratada como API pública de descarga.
SRC-OFF-JOBS-ADMIN,Stellenportal Bund,jobs.admin.ch,OFFICIAL_FEDERAL,DIRECT_PUBLIC_EMPLOYER,P0,Federal administration,CANONICAL,FEDERAL_JOB_PORTAL,WEB,COLLECTOR_CANDIDATE,AUTOMATION_REVIEW_REQUIRED,VERIFIED,https://jobs.admin.ch/,,"Buscar títulos ocultos: Gebäudebetrieb, Arealpflege, Betriebsunterhalt, Anlagenwart."
SRC-OFF-AMSTAT,Amstat – Arbeitsmarktstatistik,amstat.ch,OFFICIAL_STATISTICS,LABOUR_MARKET_STATISTICS,P0,Switzerland,CANONICAL_STATISTICS,AMSTAT,WEB_EXPORT,DATA_ACCESS_RESEARCH_REQUIRED,TERMS_REVIEW_REQUIRED,VERIFIED,https://www.amstat.ch/,,Contexto mensual; no mezclar con el snapshot diario de anuncios.
SRC-OFF-CANTON-AG,Portal de empleo Kanton Aargau,www.ag.ch,OFFICIAL_CANTON,DIRECT_PUBLIC_EMPLOYER,P0,Kanton Aargau,CANONICAL,CANTON_AG_PORTAL,WEB,COLLECTOR_CANDIDATE,AUTOMATION_REVIEW_REQUIRED,VERIFIED_OFFICIAL_PORTAL,https://www.ag.ch/de/ueber-uns/jobs-karriere/offene-stellen,,Fuente canónica para vacantes cantonales; aplicar taxonomía verde y títulos ocultos.
SRC-OFF-CANTON-AI,Portal de empleo Kanton Appenzell Innerrhoden,www.ai.ch,OFFICIAL_CANTON,DIRECT_PUBLIC_EMPLOYER,P0,Kanton Appenzell Innerrhoden,CANONICAL,OFFICIAL_WEB,WEB,COLLECTOR_CANDIDATE,AUTOMATION_REVIEW_REQUIRED,VERIFIED_BY_OFFICIAL_SEARCH_RESULT,https://www.ai.ch/themen/arbeiten-bei-der-kantonalen-verwaltung/offene-stellen-1,,Fuente canónica para vacantes cantonales; aplicar taxonomía verde y títulos ocultos.
SRC-OFF-CANTON-AR,Portal de empleo Kanton Appenzell Ausserrhoden,ar.ch,OFFICIAL_CANTON,DIRECT_PUBLIC_EMPLOYER,P0,Kanton Appenzell Ausserrhoden,CANONICAL,SOLIQUE_EMBEDDED,WEB,COLLECTOR_CANDIDATE,AUTOMATION_REVIEW_REQUIRED,VERIFIED_OFFICIAL_PORTAL,https://ar.ch/verwaltung/departement-finanzen/personalamt/freie-stellen/,,Fuente canónica para vacantes cantonales; aplicar taxonomía verde y títulos ocultos.
SRC-OFF-CANTON-BE,Portal de empleo Kanton Bern,www.jobs.sites.be.ch,OFFICIAL_CANTON,DIRECT_PUBLIC_EMPLOYER,P0,Kanton Bern,CANONICAL,SITES_BE,WEB,COLLECTOR_CANDIDATE,AUTOMATION_REVIEW_REQUIRED,VERIFIED_OFFICIAL_PORTAL,https://www.jobs.sites.be.ch/de/start/jobs.html,,Fuente canónica para vacantes cantonales; aplicar taxonomía verde y títulos ocultos.
SRC-OFF-CANTON-BL,Portal de empleo Kanton Basel-Landschaft,www.baselland.ch,OFFICIAL_CANTON,DIRECT_PUBLIC_EMPLOYER,P0,Kanton Basel-Landschaft,CANONICAL,PROSPECTIVE_UMANTIS_LINKED,WEB,COLLECTOR_CANDIDATE,AUTOMATION_REVIEW_REQUIRED,VERIFIED_OFFICIAL_PORTAL,https://www.baselland.ch/politik-und-behorden/direktionen/finanz-und-kirchendirektion/personalamt/jobs/offene-stellen,,Fuente canónica para vacantes cantonales; aplicar taxonomía verde y títulos ocultos.
